name,score,pattern
lise,90.0,CVCV
ofor,90.0,VCVC
peri,90.0,CVCV
rini,90.0,CVCV
senu,90.0,CVCV
tico,90.0,CVCV
tofu,90.0,CVCV
vede,90.0,CVCV
veru,90.0,CVCV
enar,89.8,VCVC
hehi,89.8,CVCV
hihe,89.8,CVCV
wese,89.8,CVCV
aret,89.6,VCVC
edor,89.6,VCVC
hela,89.6,CVCV
jese,89.6,CVCV
leni,89.6,CVCV
pero,89.6,CVCV
rone,89.6,CVCV
veno,89.6,CVCV
isor,89.4,VCVC
lesi,89.4,CVCV
reit,89.4,CVVC
rihe,89.4,CVCV
sise,89.4,CVCV
yese,89.4,CVCV
aris,89.2,VCVC
cora,89.2,CVCV
itel,89.2,VCVC
mede,89.2,CVCV
mine,89.2,CVCV
nito,89.2,CVCV
otes,89.2,VCVC
utes,89.2,VCVC
anas,89.0,VCVC
fine,89.0,CVCV
hens,89.0,CVCC
hent,89.0,CVCC
hern,89.0,CVCC
hert,89.0,CVCC
hesl,89.0,CVCC
hesm,89.0,CVCC
hion,89.0,CVVC
mest,89.0,CVCC
qere,89.0,CVCV
redr,89.0,CVCC
rens,89.0,CVCC
rent,89.0,CVCC
rerl,89.0,CVCC
rers,89.0,CVCC
rert,89.0,CVCC
resm,89.0,CVCC
rest,89.0,CVCC
seat,89.0,CVVC
seda,89.0,CVCV
tane,89.0,CVCV
teal,89.0,CVVC
tens,89.0,CVCC
tent,89.0,CVCC
terl,89.0,CVCC
term,89.0,CVCC
ters,89.0,CVCC
tert,89.0,CVCC
tins,89.0,CVCC
tist,89.0,CVCC
vesi,89.0,CVCV
xati,89.0,CVCV
zati,89.0,CVCV
zere,89.0,CVCV
zore,89.0,CVCV
arit,88.8,VCVC
deru,88.8,CVCV
esal,88.8,VCVC
gito,88.8,CVCV
hane,88.8,CVCV
hinu,88.8,CVCV
jeri,88.8,CVCV
kero,88.8,CVCV
meno,88.8,CVCV
rano,88.8,CVCV
sedo,88.8,CVCV
bine,88.6,CVCV
bito,88.6,CVCV
dest,88.6,CVCC
dise,88.6,CVCV
isis,88.6,VCVC
leso,88.6,CVCV
mena,88.6,CVCV
nane,88.6,CVCV
nehe,88.6,CVCV
rion,88.6,CVVC
tear,88.6,CVVC
toer,88.6,CVVC
vine,88.6,CVCV
wero,88.6,CVCV
yeri,88.6,CVCV
alis,88.4,VCVC
deno,88.4,CVCV
jero,88.4,CVCV
lesa,88.4,CVCV
meni,88.4,CVCV
oser,88.4,VCVC
otis,88.4,VCVC
rani,88.4,CVCV
reli,88.4,CVCV
reme,88.4,CVCV
sane,88.4,CVCV
tele,88.4,CVCV
cehe,88.2,CVCV
fise,88.2,CVCV
hece,88.2,CVCV
mesi,88.2,CVCV
ofis,88.2,VCVC
veso,88.2,CVCV
wera,88.2,CVCV
yero,88.2,CVCV
alit,88.0,VCVC
asti,88.0,VCCV
athe,88.0,VCCV
atho,88.0,VCCV
cene,88.0,CVCV
conu,88.0,CVCV
erte,88.0,VCCV
erti,88.0,VCCV
eshe,88.0,VCCV
esto,88.0,VCCV
etit,88.0,VCVC
gane,88.0,CVCV
iste,88.0,VCCV
isti,88.0,VCCV
itha,88.0,VCCV
ithe,88.0,VCCV
ithi,88.0,VCCV
ithu,88.0,VCCV
itil,88.0,VCVC
itim,88.0,VCVC
itir,88.0,VCVC
itre,88.0,VCCV
kise,88.0,CVCV
lenu,88.0,CVCV
ofre,88.0,VCCV
onti,88.0,VCCV
othe,88.0,VCCV
otit,88.0,VCVC
rono,88.0,CVCV
rori,88.0,CVCV
sete,88.0,CVCV
uthe,88.0,VCCV
uton,88.0,VCVC
xate,88.0,CVCV
yito,88.0,CVCV
ason,87.8,VCVC
bise,87.8,CVCV
dino,87.8,CVCV
hebe,87.8,CVCV
hema,87.8,CVCV
mahe,87.8,CVCV
onas,87.8,VCVC
qate,87.8,CVCV
rona,87.8,CVCV
sein,87.8,CVVC
teor,87.8,CVVC
wane,87.8,CVCV
atot,87.6,VCVC
cano,87.6,CVCV
cine,87.6,CVCV
hire,87.6,CVCV
icon,87.6,VCVC
into,87.6,VCCV
mino,87.6,CVCV
none,87.6,CVCV
pito,87.6,CVCV
rehi,87.6,CVCV
roni,87.6,CVCV
roro,87.6,CVCV
sihe,87.6,CVCV
cana,87.4,CVCV
fino,87.4,CVCV
heca,87.4,CVCV
helu,87.4,CVCV
lano,87.4,CVCV
mean,87.4,CVVC
nina,87.4,CVCV
orti,87.4,VCCV
rela,87.4,CVCV
yane,87.4,CVCV
arar,87.2,VCVC
asat,87.2,VCVC
cani,87.2,CVCV
esel,87.2,VCVC
fina,87.2,CVCV
hano,87.2,CVCV
heta,87.2,CVCV
inge,87.2,VCCV
leti,87.2,CVCV
linu,87.2,CVCV
nede,87.2,CVCV
tahe,87.2,CVCV
tesl,87.2,CVCC
tice,87.2,CVCV
tile,87.2,CVCV
yise,87.2,CVCV
ahed,87.0,VCVC
ated,87.0,VCVC
atic,87.0,VCVC
atid,87.0,VCVC
atig,87.0,VCVC
atik,87.0,VCVC
atip,87.0,VCVC
atiw,87.0,VCVC
atiy,87.0,VCVC
atof,87.0,VCVC
bino,87.0,CVCV
cher,87.0,CCVC
cren,87.0,CCVC
cter,87.0,CCVC
deso,87.0,CVCV
dren,87.0,CCVC
drer,87.0,CCVC
dres,87.0,CCVC
edar,87.0,VCVC
eded,87.0,VCVC
enas,87.0,VCVC
ereb,87.0,VCVC
erec,87.0,VCVC
eref,87.0,VCVC
ereg,87.0,VCVC
erek,87.0,VCVC
erep,87.0,VCVC
erev,87.0,VCVC
erew,87.0,VCVC
erey,87.0,VCVC
erto,87.0,VCCV
fren,87.0,CCVC
fres,87.0,CCVC
fter,87.0,CCVC
ftin,87.0,CCVC
gehe,87.0,CVCV
gher,87.0,CCVC
ghes,87.0,CCVC
gina,87.0,CVCV
gren,87.0,CCVC
grer,87.0,CCVC
hahe,87.0,CVCV
heen,87.0,CVVC
hees,87.0,CVVC
heha,87.0,CVCV
hepe,87.0,CVCV
ined,87.0,VCVC
ised,87.0,VCVC
ital,87.0,VCVC
ited,87.0,VCVC
itof,87.0,VCVC
leat,87.0,CVVC
leda,87.0,CVCV
ledi,87.0,CVCV
nano,87.0,CVCV
nten,87.0,CCVC
ntin,87.0,CCVC
ofar,87.0,VCVC
ohed,87.0,VCVC
oned,87.0,VCVC
orec,87.0,VCVC
ored,87.0,VCVC
oreg,87.0,VCVC
orej,87.0,VCVC
orek,87.0,VCVC
orep,87.0,VCVC
orew,87.0,VCVC
phen,87.0,CCVC
pher,87.0,CCVC
phes,87.0,CCVC
prer,87.0,CCVC
ptin,87.0,CCVC
rees,87.0,CVVC
relo,87.0,CVCV
rter,87.0,CCVC
rtin,87.0,CCVC
shes,87.0,CCVC
stin,87.0,CCVC
stit,87.0,CCVC
ston,87.0,CCVC
stor,87.0,CCVC
teer,87.0,CVVC
tesm,87.0,CVCC
tesn,87.0,CVCC
thas,87.0,CCVC
that,87.0,CCVC
thel,87.0,CCVC
them,87.0,CCVC
ther,87.0,CCVC
thes,87.0,CCVC
thin,87.0,CCVC
thit,87.0,CCVC
thon,87.0,CCVC
tiin,87.0,CVVC
uhed,87.0,VCVC
ured,87.0,VCVC
vino,87.0,CVCV
when,87.0,CCVC
wher,87.0,CCVC
whes,87.0,CCVC
wrer,87.0,CCVC
wres,87.0,CCVC
zare,87.0,CVCV
bina,86.8,CVCV
cede,86.8,CVCV
ceru,86.8,CVCV
cise,86.8,CVCV
dahe,86.8,CVCV
dihe,86.8,CVCV
gene,86.8,CVCV
hani,86.8,CVCV
inse,86.8,VCCV
isal,86.8,VCVC
item,86.8,VCVC
itet,86.8,VCVC
lesu,86.8,CVCV
nahe,86.8,CVCV
pene,86.8,CVCV
pise,86.8,CVCV
ranu,86.8,CVCV
rten,86.8,CCVC
sion,86.8,CVVC
sohe,86.8,CVCV
tive,86.8,CVCV
veti,86.8,CVCV
wina,86.8,CVCV
bini,86.6,CVCV
bone,86.6,CVCV
fano,86.6,CVCV
fohe,86.6,CVCV
hemo,86.6,CVCV
itar,86.6,VCVC
itic,86.6,VCVC
jino,86.6,CVCV
kone,86.6,CVCV
lten,86.6,CCVC
mata,86.6,CVCV
mohe,86.6,CVCV
nani,86.6,CVCV
nena,86.6,CVCV
sahe,86.6,CVCV
sers,86.6,CVCC
tial,86.6,CVVC
titr,86.6,CVCC
tont,86.6,CVCC
veat,86.6,CVVC
vone,86.6,CVCV
wini,86.6,CVCV
ange,86.4,VCCV
cofo,86.4,CVCV
denu,86.4,CVCV
fahe,86.4,CVCV
fana,86.4,CVCV
fehe,86.4,CVCV
fure,86.4,CVCV
gano,86.4,CVCV
hefe,86.4,CVCV
hefi,86.4,CVCV
ingi,86.4,VCCV
kano,86.4,CVCV
oler,86.4,VCVC
pani,86.4,CVCV
rase,86.4,CVCV
sani,86.4,CVCV
tisl,86.4,CVCC
uler,86.4,VCVC
ased,86.2,VCVC
bano,86.2,CVCV
bure,86.2,CVCV
cofa,86.2,CVCV
cofe,86.2,CVCV
fani,86.2,CVCV
fene,86.2,CVCV
ften,86.2,CCVC
fuhe,86.2,CVCV
gahe,86.2,CVCV
gana,86.2,CVCV
gihe,86.2,CVCV
gohe,86.2,CVCV
hefu,86.2,CVCV
hega,86.2,CVCV
hego,86.2,CVCV
heka,86.2,CVCV
heki,86.2,CVCV
hist,86.2,CVCC
ired,86.2,VCVC
jini,86.2,CVCV
kahe,86.2,CVCV
kihe,86.2,CVCV
orte,86.2,VCCV
rior,86.2,CVVC
teis,86.2,CVVC
tiar,86.2,CVVC
toen,86.2,CVVC
vano,86.2,CVCV
yone,86.2,CVCV
anse,86.0,VCCV
bana,86.0,CVCV
bohe,86.0,CVCV
cofu,86.0,CVCV
gani,86.0,CVCV
heba,86.0,CVCV
hebi,86.0,CVCV
heko,86.0,CVCV
heof,86.0,CVVC
hevi,86.0,CVCV
hevo,86.0,CVCV
hewa,86.0,CVCV
hewi,86.0,CVCV
hori,86.0,CVCV
inel,86.0,VCVC
itom,86.0,VCVC
lata,86.0,CVCV
lete,86.0,CVCV
lire,86.0,CVCV
meti,86.0,CVCV
ofti,86.0,VCCV
pten,86.0,CCVC
rece,86.0,CVCV
ronu,86.0,CVCV
tata,86.0,CVCV
tedr,86.0,CVCC
thei,86.0,CCVV
theo,86.0,CCVV
time,86.0,CVCV
usen,86.0,VCVC
uver,86.0,VCVC
vana,86.0,CVCV
vihe,86.0,CVCV
wana,86.0,CVCV
yini,86.0,CVCV
ateb,85.8,VCVC
ateg,85.8,VCVC
ateh,85.8,VCVC
atek,85.8,VCVC
atep,85.8,VCVC
atev,85.8,VCVC
atew,85.8,VCVC
atey,85.8,VCVC
bena,85.8,CVCV
cesi,85.8,CVCV
cina,85.8,CVCV
dale,85.8,CVCV
heje,85.8,CVCV
hejo,85.8,CVCV
heju,85.8,CVCV
jana,85.8,CVCV
jehe,85.8,CVCV
johe,85.8,CVCV
juhe,85.8,CVCV
meat,85.8,CVVC
meda,85.8,CVCV
medi,85.8,CVCV
nale,85.8,CVCV
nger,85.8,CCVC
nona,85.8,CVCV
ntes,85.8,CCVC
pina,85.8,CVCV
seon,85.8,CVVC
sono,85.8,CVCV
sori,85.8,CVCV
teas,85.8,CVVC
teit,85.8,CVVC
vani,85.8,CVCV
wani,85.8,CVCV
angi,85.6,VCCV
canu,85.6,CVCV
cini,85.6,CVCV
coru,85.6,CVCV
dori,85.6,CVCV
elin,85.6,VCVC
erse,85.6,VCCV
esof,85.6,VCVC
fion,85.6,CVVC
fori,85.6,CVCV
gede,85.6,CVCV
heji,85.6,CVCV
heya,85.6,CVCV
heyo,85.6,CVCV
horo,85.6,CVCV
jene,85.6,CVCV
jihe,85.6,CVCV
lona,85.6,CVCV
mase,85.6,CVCV
mesu,85.6,CVCV
nata,85.6,CVCV
ninu,85.6,CVCV
noni,85.6,CVCV
noro,85.6,CVCV
pale,85.6,CVCV
peru,85.6,CVCV
rema,85.6,CVCV
reof,85.6,CVVC
rtes,85.6,CCVC
sale,85.6,CVCV
sona,85.6,CVCV
teve,85.6,CVCV
utor,85.6,VCVC
vete,85.6,CVCV
yana,85.6,CVCV
yehe,85.6,CVCV
deat,85.4,CVVC
dona,85.4,CVCV
fona,85.4,CVCV
gest,85.4,CVCC
heyu,85.4,CVCV
hisi,85.4,CVCV
lanu,85.4,CVCV
loni,85.4,CVCV
loro,85.4,CVCV
nser,85.4,CCVC
pata,85.4,CVCV
pest,85.4,CVCC
serm,85.4,CVCC
soni,85.4,CVCV
tanu,85.4,CVCV
teen,85.4,CVVC
vein,85.4,CVVC
yihe,85.4,CVCV
anel,85.2,VCVC
dedo,85.2,CVCV
desu,85.2,CVCV
doni,85.2,CVCV
dure,85.2,CVCV
eles,85.2,VCVC
emer,85.2,VCVC
fata,85.2,CVCV
foro,85.2,CVCV
geno,85.2,CVCV
ginu,85.2,CVCV
gono,85.2,CVCV
gure,85.2,CVCV
hure,85.2,CVCV
ican,85.2,VCVC
icor,85.2,VCVC
imer,85.2,VCVC
ingu,85.2,VCCV
isel,85.2,VCVC
ledu,85.2,CVCV
nesa,85.2,CVCV
omen,85.2,VCVC
onge,85.2,VCCV
peno,85.2,CVCV
pure,85.2,CVCV
ratu,85.2,CVCV
rure,85.2,CVCV
sure,85.2,CVCV
tihi,85.2,CVCV
ture,85.2,CVCV
umer,85.2,VCVC
uran,85.2,VCVC
vion,85.2,CVVC
vure,85.2,CVCV
wure,85.2,CVCV
xiti,85.2,CVCV
bale,85.0,CVCV
binu,85.0,CVCV
bono,85.0,CVCV
bori,85.0,CVCV
cean,85.0,CVVC
cihe,85.0,CVCV
cuhe,85.0,CVCV
danu,85.0,CVCV
duhe,85.0,CVCV
feru,85.0,CVCV
gata,85.0,CVCV
gona,85.0,CVCV
guhe,85.0,CVCV
heci,85.0,CVCV
hecu,85.0,CVCV
hegu,85.0,CVCV
hehu,85.0,CVCV
hepo,85.0,CVCV
hess,85.0,CVCC
hetu,85.0,CVCV
hevu,85.0,CVCV
hewu,85.0,CVCV
huhe,85.0,CVCV
lase,85.0,CVCV
lior,85.0,CVVC
lora,85.0,CVCV
luhe,85.0,CVCV
muhe,85.0,CVCV
ntis,85.0,CCVC
pena,85.0,CVCV
pihe,85.0,CVCV
puhe,85.0,CVCV
risi,85.0,CVCV
tits,85.0,CVCC
toes,85.0,CVVC
vono,85.0,CVCV
vori,85.0,CVCV
winu,85.0,CVCV
wori,85.0,CVCV
wuhe,85.0,CVCV
zato,85.0,CVCV
alti,84.8,VCCV
bata,84.8,CVCV
bona,84.8,CVCV
cesa,84.8,CVCV
dora,84.8,CVCV
esem,84.8,VCVC
fora,84.8,CVCV
hase,84.8,CVCV
jale,84.8,CVCV
jori,84.8,CVCV
kede,84.8,CVCV
keru,84.8,CVCV
kona,84.8,CVCV
lert,84.8,CVCC
mete,84.8,CVCV
nenu,84.8,CVCV
oder,84.8,VCVC
ofte,84.8,VCCV
panu,84.8,CVCV
peni,84.8,CVCV
ptes,84.8,CCVC
rege,84.8,CVCV
reha,84.8,CVCV
reho,84.8,CVCV
repe,84.8,CVCV
teli,84.8,CVCV
teme,84.8,CVCV
uses,84.8,VCVC
vedu,84.8,CVCV
xato,84.8,CVCV
areb,84.6,VCVC
aref,84.6,VCVC
areg,84.6,VCVC
arej,84.6,VCVC
arek,84.6,VCVC
arev,84.6,VCVC
arew,84.6,VCVC
arof,84.6,VCVC
arti,84.6,VCCV
bean,84.6,CVVC
beso,84.6,CVCV
boni,84.6,CVCV
boro,84.6,CVCV
coer,84.6,CVVC
dase,84.6,CVCV
esta,84.6,VCCV
feno,84.6,CVCV
jata,84.6,CVCV
jinu,84.6,CVCV
kest,84.6,CVCC
koro,84.6,CVCV
lers,84.6,CVCC
list,84.6,CVCC
ltis,84.6,CCVC
mein,84.6,CVVC
nase,84.6,CVCV
ntit,84.6,CCVC
pesi,84.6,CVCV
qato,84.6,CVCV
rser,84.6,CCVC
voni,84.6,CVCV
voro,84.6,CVCV
wede,84.6,CVCV
woni,84.6,CVCV
yion,84.6,CVVC
aras,84.4,VCVC
besa,84.4,CVCV
fena,84.4,CVCV
ganu,84.4,CVCV
hisa,84.4,CVCV
inom,84.4,VCVC
irin,84.4,VCVC
joro,84.4,CVCV
lser,84.4,CCVC
matu,84.4,CVCV
mire,84.4,CVCV
nire,84.4,CVCV
oman,84.4,VCVC
onga,84.4,VCCV
ongi,84.4,VCCV
ongo,84.4,VCCV
repa,84.4,CVCV
rofo,84.4,CVCV
rtit,84.4,CCVC
sase,84.4,CVCV
sior,84.4,CVVC
tiro,84.4,CVCV
uron,84.4,VCVC
vert,84.4,CVCC
yinu,84.4,CVCV
yona,84.4,CVCV
asit,84.2,VCVC
banu,84.2,CVCV
cion,84.2,CVVC
coan,84.2,CVVC
ctis,84.2,CCVC
dein,84.2,CVVC
ftis,84.2,CCVC
kena,84.2,CVCV
kora,84.2,CVCV
ltit,84.2,CCVC
lton,84.2,CCVC
ofof,84.2,VCVC
refa,84.2,CVCV
refi,84.2,CVCV
rofa,84.2,CVCV
vanu,84.2,CVCV
vers,84.2,CVCC
wanu,84.2,CVCV
weno,84.2,CVCV
yede,84.2,CVCV
yeru,84.2,CVCV
yoro,84.2,CVCV
bith,84.0,CVCC
cath,84.0,CVCC
catu,84.0,CVCV
ense,84.0,VCCV
eril,84.0,VCVC
erir,84.0,VCVC
fath,84.0,CVCC
fesi,84.0,CVCV
gase,84.0,CVCV
gire,84.0,CVCV
gith,84.0,CVCC
hath,84.0,CVCC
hedw,84.0,CVCC
henc,84.0,CVCC
heng,84.0,CVCC
henk,84.0,CVCC
herp,84.0,CVCC
hesw,84.0,CVCC
honu,84.0,CVCV
icen,84.0,VCVC
janu,84.0,CVCV
jath,84.0,CVCC
jeno,84.0,CVCV
kase,84.0,CVCV
kath,84.0,CVCC
leng,84.0,CVCC
ling,84.0,CVCC
mari,84.0,CVCV
meng,84.0,CVCC
neti,84.0,CVCV
nith,84.0,CVCC
nonu,84.0,CVCV
ocon,84.0,VCVC
omes,84.0,VCVC
omin,84.0,VCVC
path,84.0,CVCC
pinu,84.0,CVCV
ptis,84.0,CCVC
rali,84.0,CVCV
rang,84.0,CVCC
rara,84.0,CVCV
refu,84.0,CVCV
rega,84.0,CVCV
regi,84.0,CVCV
rego,84.0,CVCV
reke,84.0,CVCV
reng,84.0,CVCC
renk,84.0,CVCC
rerc,84.0,CVCC
rerf,84.0,CVCC
rerg,84.0,CVCC
rerk,84.0,CVCC
rerp,84.0,CVCC
resh,84.0,CVCC
resk,84.0,CVCC
resp,84.0,CVCC
reth,84.0,CVCC
rith,84.0,CVCC
rofu,84.0,CVCV
sath,84.0,CVCC
sele,84.0,CVCV
seng,84.0,CVCC
tath,84.0,CVCC
terb,84.0,CVCC
terc,84.0,CVCC
terd,84.0,CVCC
terk,84.0,CVCC
terv,84.0,CVCC
tici,84.0,CVCV
ticu,84.0,CVCV
tinc,84.0,CVCC
ting,84.0,CVCC
tink,84.0,CVCC
tira,84.0,CVCV
tith,84.0,CVCC
tome,84.0,CVCV
toth,84.0,CVCC
ulen,84.0,VCVC
vath,84.0,CVCC
wath,84.0,CVCC
with,84.0,CVCC
xite,84.0,CVCV
yith,84.0,CVCC
bire,83.8,CVCV
ftit,83.8,CCVC
gean,83.8,CVVC
itas,83.8,VCVC
latu,83.8,CVCV
lisi,83.8,CVCV
lonu,83.8,CVCV
neat,83.8,CVVC
neda,83.8,CVCV
nedi,83.8,CVCV
pona,83.8,CVCV
qite,83.8,CVCV
reba,83.8,CVCV
rebi,83.8,CVCV
rebu,83.8,CVCV
reko,83.8,CVCV
reku,83.8,CVCV
revo,83.8,CVCV
rewa,83.8,CVCV
rewe,83.8,CVCV
rewi,83.8,CVCV
rewo,83.8,CVCV
sing,83.8,CVCC
sonu,83.8,CVCV
tatu,83.8,CVCV
torn,83.8,CVCC
wase,83.8,CVCV
wire,83.8,CVCV
yanu,83.8,CVCV
yeno,83.8,CVCV
yora,83.8,CVCV
alte,83.6,VCCV
donu,83.6,CVCV
enga,83.6,VCCV
erot,83.6,VCVC
even,83.6,VCVC
fonu,83.6,CVCV
heam,83.6,CVVC
icat,83.6,VCVC
iche,83.6,VCCV
icin,83.6,VCVC
inet,83.6,VCVC
isas,83.6,VCVC
isof,83.6,VCVC
itol,83.6,VCVC
itot,83.6,VCVC
jase,83.6,CVCV
jeni,83.6,CVCV
ofed,83.6,VCVC
poni,83.6,CVCV
ptit,83.6,CCVC
pton,83.6,CCVC
reja,83.6,CVCV
rejo,83.6,CVCV
reju,83.6,CVCV
tili,83.6,CVCV
urat,83.6,VCVC
urel,83.6,VCVC
uven,83.6,VCVC
wesi,83.6,CVCV
ahel,83.4,VCVC
